0,1,2,3,4
1964 National League Team Standings1964 All-Star Game| 1964 Team Standings |1964 World Series,,,,
Team | Roster,Wins,Losses,WP,GB
St. Louis Cardinals,93,69,.574,0
Cincinnati Reds,92,70,.568,1
Philadelphia Phillies,92,70,.568,1
San Francisco Giants,90,72,.556,3
Milwaukee Braves,88,74,.543,5
Los Angeles Dodgers,80,82,.494,13
Pittsburgh Pirates,80,82,.494,13
Chicago Cubs,76,86,.469,17
Houston Colt .45s,66,96,.407,27
New York Mets,53,109,.327,40
Team | Roster,Wins,Losses,WP,GB
1964 N.L. Team Final Standings,,,,
