0,1,2,3,4
1883 American Association Pitcher Review←1882| 1883 Pitching Statistics League Leaders |1884→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Tim Keefe,New York,68,Top 25
ERA,Will White,Cincinnati,2.09,Top 25
Games,Tim Keefe,New York,68,Top 25
Saves,Bob Barr,Pittsburgh,1,n/a
Tony Mullane,St. Louis,,,
Shutouts,Jumbo McGinnis,St. Louis,6,Top 25
Will White,Cincinnati,,,
Strikeouts,Tim Keefe,New York,359,Top 25
Winning Percentage,Tony Mullane,St. Louis,.700,Top 25
Wins,Will White,Cincinnati,43,Top 25
Statistic,Name(s),Team(s),#,Top 25
1883 A.L. History |1883 N.L. History|Year-by-Year History,,,,
