0,1,2,3,4
1988 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Orel Hershiser,Los Angeles,15,Top 25
Danny Jackson,Cincinnati,,,
ERA,Joe Magrane,St. Louis,2.18,Top 25
Games,Rob Murphy,Cincinnati,76,Top 25
Saves,John Franco,Cincinnati,39,Top 25
Shutouts,Orel Hershiser,Los Angeles,8,Top 25
Strikeouts,Nolan Ryan,Houston,228,Top 25
Winning Percentage,David Cone,New York,.870,Top 25
Wins,Orel Hershiser,Los Angeles,23,Top 25
Danny Jackson,Cincinnati,,,
Statistic,Name(s),Team(s),#,Top 25
