0,1,2,3,4
1965 National League Team Standings1965 All-Star Game| 1965 Team Standings |1965 World Series,,,,
Team | Roster,Wins,Losses,WP,GB
Los Angeles Dodgers,97,65,.599,0
San Francisco Giants,95,67,.586,2
Pittsburgh Pirates,90,72,.556,7
Cincinnati Reds,89,73,.549,8
Milwaukee Braves,86,76,.531,11
Philadelphia Phillies,85,76,.528,11½
St. Louis Cardinals,80,81,.497,16½
Chicago Cubs,72,90,.444,25
Houston Astros,65,97,.401,32
New York Mets,50,112,.309,47
Team | Roster,Wins,Losses,WP,GB
1965 National League Team Final Standings,,,,
