0,1,2
1987 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,St. Louis,644
Batting Average,New York,.268
Doubles,Montreal,310
Hits,New York,"1,499"
Home Runs,Chicago,209
On Base Percentage,St. Louis,.343
Runs,New York,823
Slugging Average,New York,.434
Stolen Bases,St. Louis,248
Triples,Philadelphia,51
