0,1,2,3,4,5,6
1999 National LeagueTeam Standings,,,,,,
East,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Atlanta Braves,103,59,.636,0,"$79,256,599",
New York Mets,97,66,.595,6½,"$71,510,523",
Philadelphia Phillies,77,85,.475,26,"$30,441,500",
Montreal Expos,68,94,.420,35,"$15,015,250",
Florida Marlins,64,98,.395,39,"$14,650,000",
Central,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Houston Astros,97,65,.599,0,"$56,389,000",
Cincinnati Reds,96,67,.589,1½,"$38,031,285",
Pittsburgh Pirates,78,83,.484,18½,"$23,682,420",
St. Louis Cardinals,75,86,.466,21½,"$46,337,129",
Milwaukee Brewers,74,87,.460,22½,"$42,976,575",
Chicago Cubs,67,95,.414,30,"$55,419,648",
West,Team [Click for roster],Wins,Losses,WP,GB,Payroll
Arizona Diamondbacks,100,62,.617,0,"$70,046,818",
San Francisco Giants,86,76,.531,14,"$45,991,934",
Los Angeles Dodgers,77,85,.475,23,"$76,607,247",
San Diego Padres,74,88,.457,26,"$46,507,179",
Colorado Rockies,72,90,.444,28,"$54,367,504",
National League Team Standings,,,,,,
