0,1,2,3,4
1896 National LeagueTeam Standings,,,,
Team | Roster,W,L,WP,GB
Baltimore Orioles,90,39,.698,0
Cleveland Spiders,80,48,.625,9½
Cincinnati Reds,77,50,.606,12
Boston Beaneaters,74,57,.565,17
Chicago Colts,71,57,.555,18½
Pittsburgh Pirates,66,63,.512,24
New York Giants,64,67,.489,27
Philadelphia Phillies,62,68,.477,28½
Washington Senators,58,73,.443,33
Brooklyn Bridegrooms,58,73,.443,33
St. Louis Browns,40,90,.308,50½
Louisville Colonels,38,93,.290,53
Team | Roster,W,L,WP,GB
1896 National League Team Standings,,,,
