0,1,2,3,4
1950 National League Pitcher Review←1949| 1950 National League Pitching Statistics |1951→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Vern Bickford,Boston,27,Top 25
ERA,Jim Hearn,St. Louis,2.49,Top 25
New York,,,,
Games,Jim Konstanty,Philadelphia,74,Top 25
Saves,Jim Konstanty,Philadelphia,22,Top 25
Shutouts,Jim Hearn,St. Louis,5,Top 25
New York,,,,
Larry Jansen,New York,,,
Sal Maglie,New York,,,
Robin Roberts,Philadelphia,,,
Strikeouts,Warren Spahn,Boston,191,Top 25
Winning Percentage,Sal Maglie,New York,.818,Top 25
Wins,Warren Spahn,Boston,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
1950 N.L. History |1950 A.L. History|Year-by-Year History,,,,
