0,1,2,3,4,5
1907 National League StandingsTeam Standings |1907 World Series,,,,,
Team | Roster,W,L,T,WP,GB
Chicago Cubs,107,45,3,.704,0
Pittsburgh Pirates,91,63,3,.591,17
Philadelphia Phillies,83,64,2,.565,21½
New York Giants,82,71,2,.536,25½
Brooklyn Superbas,65,83,5,.439,40
Cincinnati Reds,66,87,3,.431,41½
Boston Doves,58,90,4,.392,47
St. Louis Cardinals,52,101,2,.340,55½
Team | Roster,W,L,T,WP,GB
1907 National League Team Standings,,,,,
