0,1,2,3,4
1903 National League Pitcher Review←1902| 1903 Pitching Statistics League Leaders |1904→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Joe McGinnity,New York,44,Top 25
ERA,Sam Leever,Pittsburgh,2.06,Top 25
Games,Joe McGinnity,New York,55,Top 25
Saves,Carl Lundgren,Chicago,3,Top 25
Roscoe Miller,New York,,,
Shutouts,Sam Leever,Pittsburgh,7,Top 25
Strikeouts,Christy Mathewson,New York,267,Top 25
Winning Percentage,Sam Leever,Pittsburgh,.781,Top 25
Wins,Joe McGinnity,New York,31,Top 25
Statistic,Name(s),Team(s),#,Top 25
1903 N.L. History |1903 A.L. History|Year-by-Year History,,,,
