0,1,2,3,4,5
1888 American AssociationTeam Standings,,,,,
Team | Roster,W,L,T,WP,GB
St. Louis Browns,92,43,2,.681,0
Brooklyn Trolley Dodgers,88,52,3,.629,6½
Philadelphia Athletics,81,52,3,.609,10
Cincinnati Red Stockings,80,54,3,.597,11½
Baltimore Orioles,57,80,0,.416,36
Cleveland Blues,50,82,3,.379,40½
Louisville Colonels,48,87,4,.356,44
Kansas City Cowboys,43,89,0,.326,47½
Team | Roster,W,L,T,WP,GB
1888 A.A. History |Year-by-Year History,,,,,
