0,1,2,3,4
1896 National League Pitcher Review←1895| 1896 Pitching Statistics League Leaders |1897→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Frank Killen,Pittsburgh,44,Top 25
ERA,Billy Rhines,Cincinnati,2.45,Top 25
Games,Frank Killen,Pittsburgh,52,Top 25
Saves,Cy Young,Cleveland,3,Top 25
Shutouts,Frank Killen,Pittsburgh,5,Top 25
Cy Young,Cleveland,,,
Strikeouts,Cy Young,Cleveland,140,Top 25
Winning Percentage,Bill Hoffer,Baltimore,.781,Top 25
Wins,Frank Killen,Pittsburgh,30,Top 25
Kid Nichols,Boston,,,
Statistic,Name(s),Team(s),#,Top 25
1896 N.L. History |Year-by-Year History,,,,
