0,1,2,3,4
1916 National League Pitcher Review←1915| 1916 Pitching Statistics League Leaders |1917→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Grover Alexander,Philadelphia,38,Top 25
ERA,Grover Alexander,Philadelphia,1.55,Top 25
Games,Lee Meadows,St. Louis,51,Top 25
Saves,Red Ames,St. Louis,8,Top 25
Shutouts,Grover Alexander,Philadelphia,16,Top 25
Strikeouts,Grover Alexander,Philadelphia,167,Top 25
Winning Percentage,Tom Hughes,Boston,.842,Top 25
Wins,Grover Alexander,Philadelphia,33,Top 25
Statistic,Name(s),Team(s),#,Top 25
1916 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
