0,1,2,3,4
1947 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Ewell Blackwell,Cincinnati,23,Top 25
ERA,Warren Spahn,Boston,2.33,Top 25
Games,Ken Trinkle,New York,62,Top 25
Saves,Hugh Casey,Brooklyn,18,Top 25
Shutouts,Warren Spahn,Boston,7,Top 25
Strikeouts,Ewell Blackwell,Cincinnati,193,Top 25
Winning Percentage,Larry Jansen,New York,.808,Top 25
Wins,Ewell Blackwell,Cincinnati,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
