0,1,2
1968 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,San Francisco,508
Batting Average,Cincinnati,.273
Doubles,Cincinnati,281
Hits,Cincinnati,"1,573"
Home Runs,Chicago,130
On Base Percentage,Cincinnati,.322
Runs,Cincinnati,690
Slugging Average,Cincinnati,.389
Stolen Bases,Pittsburgh,130
Triples,St. Louis,48
