0,1,2
1901 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Philadelphia,430
Batting Average,Brooklyn,.287
Doubles,Brooklyn,206
Hits,St. Louis,"1,430"
Home Runs,St. Louis,39
On Base Percentage,Pittsburgh,.345
Runs,St. Louis,792
Slugging Average,Brooklyn,.387
Stolen Bases,Chicago,204
Triples,St. Louis,94
Statistic,Team,#
