0,1,2
1917 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Philadelphia,435
Batting Average,Cincinnati,.264
Doubles,Philadelphia,225
Hits,Cincinnati,"1,385"
Home Runs,New York,39
On Base Percentage,New York,.317
Runs,New York,635
Slugging Average,Cincinnati,.354
Stolen Bases,New York,162
Triples,Cincinnati,100
Statistic,Team,#
