0,1,2,3,4
2010 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Roy Hallady,Philadelphia,9,Top 25
ERA,Josh Johnson,Florida,2.30,Top 25
Games,Pedro Feliciano,New York,92,Top 25
Saves,Brian Wilson,San Francisco,48,Top 25
Shutouts,Roy Hallady,Philadelphia,4,Top 25
Strikeouts,Tim Lincecum,San Francisco,231,Top 25
Winning Percentage,Ubaldo Jimenez,Colorado,.704,Top 25
Wins,Roy Hallady,Philadelphia,21,Top 25
Statistic,Name,Team,#,Top 25
