0,1,2,3,4,5
1891 American AssociationTeam Standings,,,,,
Team [Click for roster],Wins,Losses,Ties,WP,GB
Boston Reds,93,42,4,.689,0
St. Louis Browns,85,51,3,.623,8½
Milwaukee Brewers,21,15,0,.583,22½
Baltimore Orioles,71,64,4,.526,22
Philadelphia Athletics,73,66,4,.525,22
Columbus Colts,61,76,1,.445,33
Cincinnati Kelly's Killers,43,57,2,.430,32½
Louisville Colonels,54,83,2,.396,40
Washington Senators,44,91,4,.326,49
