0,1,2
1890 American Association Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Columbus,545
Batting Average,Louisville,.279
Doubles,Philadelphia,181
Hits,Louisville,"1,310"
Home Runs,St. Louis,48
On Base Percentage,St. Louis,.350
Runs,St. Louis,870
Slugging Average,St. Louis,.370
Triples,Toledo,108
