0,1,2
1994 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Atlanta,16
ERA,Montreal,3.56
Fewest Hits Allowed,Atlanta,929
Fewest Home Runs Allowed,Atlanta,76
Fewest Walks Allowed,Montreal,288
Saves,Montreal,46
Shutouts,Atlanta,8
Montreal,,
Strikeouts,Atlanta,865
"Seasonal Events:All-Star Game|Draft|Home Run Derby| World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard| Retirements|Rookies ListAverage Salary: $1,188,679.00Minimum Salary: $109,000.00",,
