0,1,2,3,4
1983 National League Pitcher Review←1982| 1983 Pitching Statistics League Leaders |1984→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Mario Soto,Cincinnati,18,Top 25
ERA,Atlee Hammaker,San Francisco,2.25,Top 25
Games,Bill Campbell,Chicago,82,Top 25
Saves,Lee Smith,Chicago,29,Top 25
Shutouts,Steve Rogers,Montreal,5,Top 25
Strikeouts,Steve Carlton,Philadelphia,275,Top 25
Winning Percentage,John Denny,Philadelphia,.760,Top 25
Wins,John Denny,Philadelphia,19,Top 25
Statistic,Name(s),Team(s),#,Top 25
1983 N.L. History |1983 A.L. History|Year-by-Year History,,,,
