0,1,2,3,4
1907 National League Pitcher Review←1906| 1907 Pitching Statistics League Leaders |1908→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Stoney McGlynn,St. Louis,33,Top 25
ERA,Jack Pfiester,Chicago,1.15,Top 25
Games,Joe McGinnity,New York,47,Top 25
Saves,Joe McGinnity,New York,4,Top 25
Shutouts,Christy Mathewson,New York,8,Top 25
Orval Overall,Chicago,,,
Strikeouts,Christy Mathewson,New York,178,Top 25
Winning Percentage,Ed Reulbach,Chicago,.810,Top 25
Wins,Christy Mathewson,New York,24,Top 25
Statistic,Name(s),Team(s),#,Top 25
1907 A.L.|A.L. Retirements|A.L. Rookies|Year-by-Year,,,,
