0,1,2
1995 National League Team ReviewHitting Statistics League Leaderboard,,
Statistic,Team,#
Base on Balls,Houston,566
Batting Average,Colorado,.282
Doubles,Cincinnati,277
Hits,Colorado,"1,406"
Home Runs,Colorado,200
On Base Percentage,Houston,.356
Runs,Colorado,785
Slugging Average,Colorado,.471
Stolen Bases,Cincinnati,190
Triples,Colorado,43
