0,1,2,3,4
1879 National League Pitcher Review←1878| 1879 Pitching Statistics League Leaders |1880→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Will White,Cincinnati,75,Top 25
ERA,Tommy Bond,Boston,1.96,Top 25
Games,Will White,Cincinnati,76,Top 25
Saves,Bobby Mathews,Providence,2,Top 25
John Ward,,,,
Shutouts,Tommy Bond,Boston,11,Top 25
Strikeouts,John Ward,Providence,239,Top 25
Winning Percentage,John Ward,Providence,.712,Top 25
Wins,John Ward,Providence,47,Top 25
Statistic,Name(s),Team(s),#,Top 25
1879 N.L. History |Year-by-Year History,,,,
