0,1,2,3,4
1960 National League Pitcher Review←1959| 1960 Pitching Statistics League Leaders |1961→,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Lew Burdette,Milwaukee,18,Top 25
Vern Law,Pittsburgh,,,
Warren Spahn,Milwaukee,,,
ERA,Mike McCormick,San Francisco,2.70,Top 25
Games,Roy Face,Pittsburgh,68,Top 25
Saves,Lindy McDaniel,St. Louis,26,Top 25
Shutouts,Jack Sanford,San Francisco,6,Top 25
Strikeouts,Don Drysdale,Los Angeles,246,Top 25
Winning Percentage,Ernie Broglio,St. Louis,.700,Top 25
Wins,Ernie Broglio,St. Louis,21,Top 25
Warren Spahn,Milwaukee,,,
Statistic,Name(s),Team(s),#,Top 25
1960 N.L. History |1960 A.L. History|Year-by-Year History,,,,
