0,1,2,3,4
2000 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Randy Johnson,Arizona,8,Top 25
Curt Schilling,Philadelphia,,,
Arizona,,,,
ERA,Kevin Brown,Los Angeles,2.58,Top 25
Games,Steve Kline,St. Louis,83,Top 25
Saves,Antonio Alfonseca,Florida,45,Top 25
Shutouts,Greg Maddux,Atlanta,3,Top 25
Randy Johnson,Arizona,,,
Strikeouts,Randy Johnson,Arizona,347,Top 25
Winning Percentage,Randy Johnson,Arizona,.731,Top 25
Wins,Tom Glavine,Atlanta,21,Top 25
Statistic,Name,Team,#,Top 25
