0,1,2,3,4
1970 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Fergie Jenkins,Chicago,24,Top 25
ERA,Tom Seaver,New York,2.82,Top 25
Games,Ron Herbel,San Diego,76,Top 25
New York,,,,
Saves,Wayne Granger,Cincinnati,35,Top 25
Shutouts,Gaylord Perry,San Francisco,5,Top 25
Strikeouts,Tom Seaver,New York,283,Top 25
Winning Percentage,Bob Gibson,St. Louis,.767,Top 25
Wins,Bob Gibson,St. Louis,23,Top 25
Gaylord Perry,San Francisco,,,
Statistic,Name(s),Team(s),#,Top 25
1970 N.L. History |1970 A.L. History|Year-by-Year History,,,,
