0,1,2,3,4
2006 National League Pitcher Review←2005| 2006 N.L. Pitching Statistics League Leaders |2007→,,,,
Statistic,Name,Team,#,Top 25
Complete Games,Aaron Harang,Cincinnati,6,Top 25
ERA,Roy Oswalt,Houston,2.98,Top 25
Games,Salomon Torres,Pittsburgh,94,Top 25
Saves,Trevor Hoffman,San Diego,46,Top 25
Shutouts,Chris Carpenter,St. Louis,3,Top 25
Brandon Webb,Arizona,,,
Strikeouts,Aaron Harang,Cincinnati,216,Top 25
Winning Percentage,Carlos Zambrano,Chicago,.696,Top 25
Wins,Aaron Harang,Cincinnati,16,Top 25
Derek Lowe,Los Angeles,,,
Brad Penny,Los Angeles,,,
John Smoltz,Atlanta,,,
Brandon Webb,Arizona,,,
Carlos Zambrano,Chicago,,,
Statistic,Name,Team,#,Top 25
2006 A.L.|N.L. Retirements|N.L. Rookies|Year-by-Year,,,,
