0,1,2,3,4,5,6
2025 National League Team Standings2025 All-Star Game| 2025 Team Standings |2025 World Series,,,,,,
East,Team | Roster,W,L,T,WP,GB
New York Mets,45,29,0,.608,-,
Philadelphia Phillies,44,30,0,.595,1.0,
Atlanta Braves,33,39,0,.458,11.0,
Washington Nationals,30,44,0,.405,15.0,
Miami Marlins,29,43,0,.403,15.0,
Central,Team | Roster,W,L,T,WP,GB
Chicago Cubs,45,28,0,.616,-,
Cincinnati Reds,39,35,0,.527,6.5,
Milwaukee Brewers,39,35,0,.527,6.5,
St. Louis Cardinals,38,35,0,.521,7.0,
Pittsburgh Pirates,29,45,0,.392,16.5,
West,Team | Roster,W,L,T,WP,GB
Los Angeles Dodgers,46,29,0,.613,-,
San Francisco Giants,41,33,0,.554,4.5,
San Diego Padres,39,34,0,.534,6.0,
Arizona Diamondbacks,36,37,0,.493,9.0,
Colorado Rockies,17,57,0,.230,28.5,
N.L.,Team | Roster,W,L,T,WP,GB
2025 National League Standings,,,,,,
