0,1,2,3,4
1987 National League Pitcher ReviewPitching Statistics League Leaderboard,,,,
Statistic,Name(s),Team(s),#,Top 25
Complete Games,Rick Reuschel,San Francisco,12,Top 25
Fernando Valenzuela,Los Angeles,,,
ERA,Nolan Ryan,Houston,2.76,Top 25
Games,Kent Tekulve,Philadelphia,90,Top 25
Saves,Steve Bedrosian,Philadelphia,40,Top 25
Shutouts,Rick Reuschel,San Francisco,4,Top 25
Bob Welch,Los Angeles,,,
Strikeouts,Nolan Ryan,Houston,270,Top 25
Winning Percentage,Dwight Gooden,New York,.682,Top 25
Wins,Rick Sutcliffe,Chicago,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
